,KO,PEP,XOM,CVX,MSFT,AAPL,JPM,BAC
2023-03-03,83.5423,84.1228,95.1844,95.223,104.3847,104.5413,114.6745,115.8219
2023-03-06,83.3802,83.7847,95.0132,95.7432,104.1272,104.4996,114.2616,114.2464
2023-03-07,83.1129,83.9117,94.1404,94.5677,103.3385,103.3667,114.8639,114.8653
2023-03-08,83.0082,82.9326,93.5076,93.8234,102.7567,103.6461,113.1894,113.8579
2023-03-09,83.6697,83.9509,93.3804,93.6549,102.9484,102.9575,114.2138,114.4545
2023-03-10,84.7106,85.0508,93.7412,94.3941,104.0689,104.6462,115.1822,115.6726
2023-03-13,84.3921,84.4034,93.5225,93.319,103.8536,104.3806,115.3654,115.7017
2023-03-14,83.7098,84.0463,92.5478,93.1628,103.6752,103.7402,114.5133,114.8888
2023-03-15,83.6056,83.6011,92.2484,92.2381,102.9235,103.111,113.203,113.6585
2023-03-16,84.1771,84.6319,92.9989,93.1079,102.6505,103.3589,112.5143,113.3016
2023-03-17,84.7125,85.2285,93.5964,94.0691,103.56,104.0469,113.2948,114.2703
2023-03-20,85.3776,85.7144,93.4137,94.1167,103.6222,104.2219,114.5383,115.8505
2023-03-21,85.1711,84.9229,93.2717,93.2916,102.6691,102.7011,112.1367,112.9794
2023-03-22,85.4096,85.3385,93.3126,93.4717,102.2082,103.0125,113.3148,113.9838
2023-03-23,85.3598,85.7114,93.6751,93.9334,102.3315,102.9375,113.5885,114.3337
2023-03-24,85.0932,85.3436,93.8517,94.0449,102.2666,102.7937,113.5372,115.0077
2023-03-27,85.877,85.4655,94.0798,94.5708,101.6871,102.3973,113.6772,114.9206
2023-03-28,85.118,85.7776,94.2336,95.4759,101.7877,102.2073,115.3037,115.5029
2023-03-29,85.6903,86.0822,95.4562,95.8282,103.0817,103.3938,116.7447,116.8044
2023-03-30,84.9482,85.1735,95.6015,95.632,103.2153,103.589,117.4003,117.9071
2023-03-31,84.6374,85.398,95.8751,95.7209,103.6509,103.9443,117.9554,118.9436
2023-04-03,85.2978,85.6166,95.9456,96.0933,105.3417,106.3796,118.1619,119.0883
2023-04-04,84.2752,84.5613,95.8032,95.6452,104.3935,104.9921,116.6741,117.8127
2023-04-05,83.8798,84.4558,95.0433,95.3434,104.5956,104.5379,115.7638,116.7205
2023-04-06,83.4513,84.4221,94.7002,95.0006,102.4654,103.5206,115.0652,116.6447
2023-04-07,83.2145,84.1057,94.3583,94.3586,102.941,103.1422,115.4925,116.8837
2023-04-10,82.8796,83.4718,93.6106,94.3916,103.0651,103.4115,115.5762,116.7319
2023-04-11,84.7762,85.3815,95.5346,95.448,105.9259,106.3741,116.3015,117.9193
2023-04-12,84.2082,84.89,95.283,95.3783,104.4693,104.0412,113.9743,114.7311
2023-04-13,84.8213,85.0137,96.3172,96.5837,104.5619,104.7854,114.8069,116.1862
2023-04-14,84.0893,84.7059,95.3203,95.6152,103.064,103.2423,112.8138,114.275
2023-04-17,83.6993,83.9509,95.365,95.8077,102.6681,103.0651,112.6094,114.1812
2023-04-18,83.8395,84.3409,95.0716,95.3226,103.0331,103.4401,111.6804,112.5168
2023-04-19,84.4578,84.8341,95.5519,95.9854,104.4228,104.6146,113.0426,114.3427
2023-04-20,85.0641,85.6131,95.7098,95.7407,105.5272,105.6407,112.891,114.5698
2023-04-21,85.3731,85.8141,96.5371,97.0493,105.9347,106.4381,113.9112,115.5986
2023-04-24,85.0242,84.6205,96.9175,97.3573,106.066,106.276,113.1934,115.1834
2023-04-25,84.6244,85.0738,96.9066,97.4951,104.8808,105.0769,114.058,115.8867
2023-04-26,85.472,86.0236,97.6342,97.3336,105.689,105.8867,114.9947,116.4651
2023-04-27,85.3974,85.9117,98.1834,98.0574,105.6665,106.3825,116.1149,117.7236
2023-04-28,84.5267,84.9159,97.0988,97.4844,105.0307,105.1489,115.4036,116.743
2023-05-01,83.5646,84.4192,96.3819,95.7509,104.2681,104.2378,115.4236,116.7989
2023-05-02,82.8449,83.3659,95.7023,95.9191,103.301,102.8308,114.318,115.8222
2023-05-03,83.1825,83.7113,96.0325,96.4365,102.8667,102.6022,114.9838,116.1885
2023-05-04,82.875,83.5612,96.1498,96.0605,102.5473,102.5762,116.3954,117.6869
2023-05-05,82.8336,83.4756,96.3925,96.3374,102.7443,102.8646,117.9339,119.2188
2023-05-08,82.9373,83.2288,95.3525,95.2242,102.199,102.2348,117.7889,118.9731
2023-05-09,83.2896,83.1792,95.8934,95.8824,102.3669,102.6475,117.5932,118.9826
2023-05-10,83.6755,84.0659,96.8675,96.8059,103.0533,103.027,118.4288,120.1153
2023-05-11,83.2901,83.9847,96.2305,96.2109,102.0073,101.9857,118.967,120.001
2023-05-12,83.8981,84.3174,96.8313,96.7556,101.6984,102.2819,120.4144,120.9355
2023-05-15,83.2868,83.9988,95.8949,95.9452,102.0727,102.7403,119.3327,120.2237
2023-05-16,83.0133,83.5731,95.7585,95.8381,101.425,101.3932,118.5275,119.3964
2023-05-17,82.9498,83.7939,95.7607,96.448,100.9078,101.3111,117.4973,118.4033
2023-05-18,81.8288,82.2833,95.1681,95.1187,100.274,99.9975,117.1446,118.1766
2023-05-19,82.4109,83.0478,96.3336,96.4361,101.1513,100.9561,117.344,117.2565
2023-05-22,81.5566,82.2222,96.989,96.7573,101.037,101.0301,117.5845,118.61
2023-05-23,81.7015,82.6101,96.446,96.2881,100.8639,101.4527,118.3541,119.469
2023-05-24,81.7334,81.903,96.3984,95.9502,101.5495,101.5764,118.5109,119.2127
2023-05-25,82.0577,82.5483,96.617,96.2572,102.9865,102.8718,120.3142,120.8769
2023-05-26,82.9655,83.7973,97.1084,96.9264,103.7683,103.8832,120.263,120.5824
2023-05-29,83.1446,84.1319,95.8548,96.1716,102.7318,102.8514,121.6492,121.9459
2023-05-30,83.0977,83.6926,95.5122,96.0881,102.1267,101.9829,121.6829,122.215
2023-05-31,83.0104,83.4462,95.2579,95.0323,102.9133,103.5166,120.2816,120.8864
2023-06-01,81.7072,82.4406,94.5195,94.5839,101.0721,100.942,120.1284,120.4913
2023-06-02,80.6569,81.4116,93.4018,93.228,100.8322,100.7667,119.1624,119.4421
2023-06-05,79.6461,80.1032,92.3242,92.4533,99.5074,99.3396,117.4412,117.8466
2023-06-06,79.0581,79.661,91.4946,91.9666,98.6312,98.7083,115.6969,116.0706
2023-06-07,79.3191,80.1283,91.9148,91.948,99.5725,99.7993,114.9658,114.7781
2023-06-08,78.7117,79.6542,91.0496,91.2059,98.5384,98.9211,115.244,115.6297
2023-06-09,78.3586,79.0272,90.7905,91.3655,98.2728,97.9516,114.5767,115.3279
2023-06-12,79.3049,79.8204,90.8841,91.2226,100.0881,100.2375,114.8299,115.0672
2023-06-13,79.0726,79.5698,90.2259,90.2543,98.8943,98.9227,114.716,115.3674
2023-06-14,79.7489,80.3577,90.3177,90.6221,99.4359,99.5949,114.0382,113.9398
2023-06-15,79.205,79.631,89.5769,89.6318,99.1858,98.9785,112.5948,112.7415
2023-06-16,78.9665,79.4719,89.2529,89.6393,98.8885,98.692,112.9016,112.8117
2023-06-19,78.4767,78.7011,88.2529,88.6736,99.0207,99.1238,112.0132,112.5619
2023-06-20,78.1934,78.9497,87.53,87.4402,97.9837,98.0948,111.4867,112.2007
2023-06-21,78.9078,79.0859,88.0677,88.3631,97.8874,98.3162,112.2082,112.3925
2023-06-22,77.8696,78.169,86.7605,86.9835,96.3659,96.3839,110.0791,110.7755
2023-06-23,77.7774,78.2284,87.5852,87.9236,97.1112,97.0915,110.5368,111.3726
2023-06-26,78.3855,79.2568,87.8126,88.27,97.3255,96.5962,110.4814,110.7254
2023-06-27,77.9602,78.2503,86.6466,87.0723,97.381,96.8627,109.3495,109.6312
2023-06-28,76.1224,76.409,85.2794,85.5098,96.6199,96.5659,107.3441,107.8908
2023-06-29,76.1424,76.4495,84.9318,85.48,96.5421,96.2999,106.979,107.1491
2023-06-30,75.0855,75.9264,84.2333,84.3495,95.5253,95.8648,107.2876,107.7101
2023-07-03,75.1762,74.9954,84.6979,84.631,95.8148,95.4872,108.3698,109.3608
2023-07-04,75.31,75.5496,85.1948,84.5933,96.5391,96.4655,107.5711,107.7609
2023-07-05,76.2946,77.4299,87.0798,87.2152,97.2145,97.1829,108.3086,109.0157
2023-07-06,76.0566,76.7209,86.5542,86.5222,97.1303,97.586,108.2676,108.9536
2023-07-07,75.2818,75.5342,86.0086,86.1849,96.2944,96.1705,109.1496,109.5092
2023-07-10,75.6568,76.1485,86.5063,86.0029,96.7316,96.8686,108.4545,109.0462
2023-07-11,75.6132,76.1711,85.9367,85.8644,96.8765,96.9175,108.4232,109.5635
2023-07-12,76.8867,77.6016,87.3497,87.5919,97.6235,97.974,109.9315,110.656
2023-07-13,76.9888,77.9755,87.9652,87.8687,99.3706,99.6219,110.5821,111.4312
2023-07-14,76.9784,77.6646,88.0482,88.3829,99.5787,99.5601,110.4847,111.6437
2023-07-17,77.4149,77.9736,89.5816,89.6623,100.8489,100.4175,112.814,113.2431
2023-07-18,76.455,77.3705,88.5165,88.7133,98.9238,98.9837,112.311,112.5057
2023-07-19,76.1724,76.7037,88.1799,88.4912,98.0378,98.1998,111.9541,113.1109
2023-07-20,75.9128,76.3858,87.4082,87.8496,97.5329,97.7843,111.7968,112.4104
2023-07-21,75.6622,75.9421,86.7087,86.9637,97.4534,97.3998,111.8973,112.8234
2023-07-24,74.7314,75.0796,85.9073,85.9734,96.7156,97.0637,111.684,111.9608
2023-07-25,74.9299,75.5038,86.3696,86.5261,97.4025,97.4172,113.6322,114.185
2023-07-26,75.1115,75.575,86.5552,87.0263,97.9504,97.6013,115.1055,115.2103
2023-07-27,73.8154,74.64,85.6217,85.6392,96.3427,96.1648,114.3817,114.8611
2023-07-28,73.4087,73.8653,84.5094,84.8011,94.373,94.936,113.0853,113.265
2023-07-31,73.8475,73.8614,84.6265,84.9172,94.1034,94.3213,113.9699,114.0087
2023-08-01,74.1198,74.6502,84.7323,85.1154,94.4055,94.7637,115.4785,115.7429
2023-08-02,75.5578,76.2364,86.6279,86.7489,95.7731,95.5406,118.9136,118.2862
2023-08-03,77.6119,78.2706,88.7859,88.6724,98.799,98.6097,121.6171,121.4043
2023-08-04,77.4909,78.659,89.3013,89.7581,99.4095,99.184,122.1533,122.7178
2023-08-07,77.0631,77.717,88.6944,89.2577,99.7897,99.7871,120.3503,120.7884
2023-08-08,75.5809,76.5564,87.4677,87.2637,98.1168,97.9839,118.1062,118.077
2023-08-09,75.459,76.2744,87.2626,87.6836,99.5097,99.2325,118.2542,118.8477
2023-08-10,74.6969,75.5409,86.6316,87.2554,98.3405,98.1725,117.3822,117.4412
2023-08-11,73.9647,74.6373,87.2235,87.5928,97.4051,97.129,115.8194,116.425
2023-08-14,73.3422,74.1698,87.6611,87.7326,97.4143,97.2306,115.4926,115.7024
2023-08-15,73.247,73.9186,87.917,87.7956,96.4123,96.6225,115.8775,116.01
2023-08-16,73.625,74.5418,88.822,89.0043,96.6053,96.1212,116.8873,117.1452
2023-08-17,74.1554,74.9882,88.8856,89.1398,97.0331,97.0073,118.1403,119.2155
2023-08-18,73.8015,74.487,89.1863,89.3972,97.0416,97.3444,117.7922,117.6308
2023-08-21,73.1279,74.2555,88.3837,88.5137,96.0258,95.8712,117.3836,117.4964
2023-08-22,71.8074,72.8326,87.2198,87.0341,94.2883,94.0276,115.6979,116.0398
2023-08-23,71.9393,72.7539,86.7014,86.9419,94.1186,94.2545,115.349,115.0422
2023-08-24,71.6583,72.6031,86.6172,86.8778,94.4427,93.971,117.1869,116.4727
2023-08-25,72.9909,73.9109,87.9634,88.135,96.3131,96.0729,119.3617,118.9078
2023-08-28,73.2672,73.9989,88.1994,88.3514,96.0598,95.6196,119.232,119.2658
2023-08-29,73.8411,74.7828,89.2308,89.7664,96.3447,95.6977,121.5308,121.0831
2023-08-30,73.5103,74.2938,88.5775,88.4823,95.569,95.4633,120.9087,120.6581
2023-08-31,72.7562,73.422,87.3557,87.8095,94.7784,94.351,118.171,118.4818
2023-09-01,72.1367,72.6185,87.423,87.2445,93.6252,93.5226,116.5059,116.2902
2023-09-04,71.9019,72.66,87.9242,88.1389,92.6316,92.8792,115.2601,115.391
2023-09-05,73.1689,74.1473,89.7556,89.9856,93.1414,93.7024,116.5746,116.3495
2023-09-06,72.8592,73.5987,88.7869,88.671,92.99,93.0493,115.5993,115.9842
2023-09-07,73.1747,74.6344,89.2201,89.6479,93.6094,93.9528,115.9841,116.5048
2023-09-08,72.6615,73.7356,88.4707,88.5877,93.3624,93.4892,115.5985,116.2945
2023-09-11,73.0929,74.3033,89.8447,89.5598,93.7697,93.755,116.8752,116.9041
2023-09-12,73.4514,74.5798,89.7702,89.6488,93.4568,93.0866,117.6794,118.0414
2023-09-13,73.6185,74.9792,90.111,90.3949,93.2911,93.9351,116.6081,116.6596
2023-09-14,73.716,74.4973,90.4475,90.6765,94.7722,94.5013,117.1546,117.6068
2023-09-15,73.2216,73.5734,90.385,90.0682,94.4551,94.8934,117.9086,118.8169
2023-09-18,73.2419,74.057,90.694,90.6564,94.455,94.6676,118.7931,119.1113
2023-09-19,72.9267,73.9497,89.8135,89.913,94.4656,94.3137,118.6922,118.6336
2023-09-20,72.0571,72.9594,88.884,88.7744,92.9304,93.2802,116.2831,116.5959
2023-09-21,70.8563,71.8174,87.964,88.6191,91.6954,92.585,115.3143,115.2432
2023-09-22,71.1474,72.2754,87.9324,88.0148,90.9129,91.7743,116.4626,116.3906
2023-09-25,72.1825,73.0864,89.3491,89.2973,93.2735,93.43,117.9715,118.6419
2023-09-26,72.9498,73.8993,88.9364,89.2065,94.158,94.1477,117.7689,117.7372
2023-09-27,73.0031,73.544,88.4624,88.3223,93.8558,94.0911,117.6532,118.2208
2023-09-28,73.6008,74.0635,89.0311,89.23,94.1902,94.3648,117.4501,118.0154
2023-09-29,74.5708,75.6558,90.2052,89.6803,94.7146,95.3355,118.6485,119.1257
2023-10-02,74.6151,75.3604,90.4578,90.2293,94.7945,95.2335,119.7448,120.4099
2023-10-03,74.4597,75.0336,90.6246,90.7624,95.2825,95.0461,120.0253,120.1597
2023-10-04,75.1977,75.8178,91.4995,91.7708,96.1284,96.5985,122.1868,122.9592
2023-10-05,75.4078,76.0546,91.8012,91.4773,96.0498,96.3964,122.918,123.1733
2023-10-06,76.3363,76.9784,93.0514,92.7031,96.9319,97.4023,124.2077,124.5192
2023-10-09,76.193,76.7301,93.0047,93.0854,98.1743,98.6613,124.4232,124.7229
2023-10-10,74.9078,75.4274,92.2916,92.0375,97.0881,97.8166,122.1593,123.0149
2023-10-11,74.0293,74.8489,90.9698,90.7824,95.1413,95.8598,120.9354,121.5754
2023-10-12,74.8797,75.6284,91.8402,92.0121,95.9464,96.2951,123.9638,123.3315
2023-10-13,75.9958,77.1328,93.5222,93.241,96.981,97.5535,127.276,127.6051
2023-10-16,75.9809,76.9503,93.3758,92.7217,97.1432,97.5481,127.6468,127.1856
2023-10-17,75.9561,76.8944,93.2117,92.7041,96.6226,96.7343,127.4154,127.5646
2023-10-18,77.1789,77.8774,94.6096,94.4683,97.7754,98.4081,127.7854,128.152
2023-10-19,76.2967,77.1106,93.8913,93.1796,97.3173,98.4572,126.6416,126.8357
2023-10-20,76.0453,76.9155,92.8954,92.6334,96.7061,96.7841,125.2011,125.6221
2023-10-23,76.9183,77.8446,93.3798,92.8332,98.1481,98.63,127.2563,127.7365
2023-10-24,76.7639,77.4794,92.9751,93.3062,98.0685,98.4994,125.721,125.7717
2023-10-25,76.9183,77.8926,93.1898,93.6224,99.5447,99.9855,125.9513,126.0554
2023-10-26,77.4706,78.1623,93.3884,92.8878,99.2832,99.3793,125.322,125.658
2023-10-27,77.9158,78.7665,94.5796,94.3968,99.1789,99.2395,126.0068,125.868
2023-10-30,78.9638,79.4798,96.6186,96.0535,99.8215,99.9747,128.4246,128.5634
2023-10-31,79.2622,79.4635,97.5386,97.0556,99.8793,100.9354,129.4684,130.188
2023-11-01,79.9095,80.5943,98.4353,98.5227,99.7653,100.1934,130.463,130.045
2023-11-02,77.9799,78.8007,96.6589,96.1519,98.155,98.6865,128.932,128.9657
2023-11-03,78.3137,79.0401,96.3512,95.9208,97.0263,98.4073,129.12,129.1539
2023-11-06,77.4102,78.1295,95.4519,94.774,96.3009,96.8219,128.6936,129.6797
2023-11-07,76.2244,76.7864,94.4938,94.4001,94.5421,95.3727,128.0655,127.963
2023-11-08,76.1295,76.5229,93.7319,92.322,93.477,94.5347,127.099,126.9603
2023-11-09,76.2116,76.9099,93.7279,93.0896,93.5635,94.5554,126.2779,125.9362
2023-11-10,77.0006,77.6602,94.7465,94.1999,95.5387,95.713,127.0534,127.2808
2023-11-13,76.3282,76.7673,93.2521,92.5492,94.1144,94.4954,126.4804,126.7866
2023-11-14,76.2102,77.0395,93.1274,92.8634,93.9238,94.524,125.5359,125.5578
2023-11-15,75.8414,76.1704,93.2585,93.0625,93.088,94.1656,124.6266,125.398
2023-11-16,75.9132,76.3101,92.9175,91.9441,92.7364,93.0793,124.3766,124.8368
2023-11-17,76.6644,77.6032,93.351,93.3518,93.2343,93.6934,124.7767,125.543
2023-11-20,77.3138,78.0884,93.5618,92.6024,94.1032,94.7828,124.2899,124.6713
2023-11-21,78.0765,78.6215,94.5041,94.255,94.9994,95.7506,126.6261,127.1348
2023-11-22,78.1653,78.8505,94.4905,93.9355,96.1929,96.8262,125.3185,125.6936
2023-11-23,77.5442,78.2183,94.145,93.3617,96.0514,96.1891,124.2518,125.2756
2023-11-24,77.5145,77.5014,95.1494,94.3085,95.6223,95.8476,123.3751,123.9446
2023-11-27,77.5752,78.0219,95.6046,94.842,95.6849,96.1029,123.4575,123.9179
2023-11-28,77.5645,78.1993,96.2512,95.5023,95.3028,96.0885,122.8699,123.2287
2023-11-29,76.7648,77.3127,94.8203,93.8223,95.1631,95.4431,122.0914,122.4137
2023-11-30,76.5894,77.2797,94.7791,93.9833,94.6571,95.0439,122.3014,122.8857
2023-12-01,76.4671,77.3984,95.6865,94.6405,94.1512,94.4132,123.5721,124.2617
2023-12-04,78.7493,79.3475,98.2509,97.0317,96.3359,97.4092,126.3639,126.5192
2023-12-05,79.6507,80.1241,98.2877,97.308,98.2262,98.779,130.2448,130.5509
2023-12-06,79.0375,79.8168,98.0851,96.9511,98.3932,99.1597,127.8723,128.2845
2023-12-07,78.2798,78.9226,98.1253,97.2288,99.1508,99.5005,126.3177,126.9491
2023-12-08,77.2798,77.9273,96.0367,95.4276,97.9478,98.3001,126.142,125.7843
2023-12-11,76.749,77.4159,96.0722,95.4093,97.5315,97.3955,125.9652,125.9917
2023-12-12,76.9348,78.2193,95.5379,95.554,98.3844,97.977,126.9672,126.7872
2023-12-13,78.0518,78.2839,97.2882,96.086,99.4598,100.0562,128.2078,128.6128
2023-12-14,77.5409,78.2111,96.3788,95.9702,97.7741,98.0492,127.7756,127.7622
2023-12-15,77.5235,78.2022,95.2221,94.668,97.7305,97.933,127.3768,127.5542
2023-12-18,75.9989,76.4655,93.3598,93.0976,95.4065,95.1994,124.241,124.2359
2023-12-19,76.0742,76.9391,93.4526,93.1477,95.0116,94.9593,124.4552,124.707
2023-12-20,75.192,76.03,92.6756,92.0763,94.1636,94.6641,123.4541,123.3927
2023-12-21,74.9004,75.5203,92.4125,91.9533,93.8562,94.5933,124.1659,124.7009
2023-12-22,74.8594,75.3978,91.2589,90.5839,93.3716,93.4318,124.3342,124.6866
2023-12-25,74.3989,75.0248,90.6514,90.3794,93.7663,94.1825,124.0484,124.2606
2023-12-26,73.1046,73.737,89.6261,88.6583,92.5938,92.921,121.454,121.5362
2023-12-27,71.9308,72.595,89.2914,88.9278,91.246,91.4673,121.2897,120.6033
2023-12-28,73.1319,73.7986,91.3709,90.7235,92.9789,93.7801,122.8842,122.7879
2023-12-29,72.3063,73.0373,89.6179,88.9614,91.6286,91.8023,121.512,121.2757
2024-01-01,71.8152,72.6607,88.218,87.6639,90.6613,91.362,120.1347,120.291
2024-01-02,73.0227,73.4861,89.7254,89.2202,93.4531,93.8434,122.164,122.4588
2024-01-03,75.2216,75.7441,90.9969,90.9906,96.2643,96.5061,125.5815,125.8393
2024-01-04,74.5058,74.8728,89.9001,90.4093,95.5477,96.2074,124.0697,124.6886
2024-01-05,74.4386,75.3677,89.7672,89.6571,94.6407,94.9989,123.9081,123.8403
2024-01-08,74.7101,75.5053,89.3484,88.7826,95.3288,95.5856,123.7068,123.6488
2024-01-09,76.1477,76.9741,91.0053,90.7701,97.2505,97.931,125.4159,125.9205
2024-01-10,75.8198,76.1223,90.4164,90.1152,97.014,97.6072,123.9325,124.1441
2024-01-11,75.8885,76.8739,89.9176,89.1942,97.1929,97.7724,123.8253,123.8298
2024-01-12,76.5594,76.946,90.5213,89.6804,98.7747,97.7505,124.7099,125.4634
2024-01-15,76.7996,77.3688,90.3118,89.8506,99.8468,100.0684,126.7727,126.8921
2024-01-16,76.6065,77.3317,89.8649,89.6636,99.8352,99.9382,126.2514,126.0846
2024-01-17,75.8766,76.2237,89.6964,88.8676,99.3788,99.5397,124.5351,124.2387
2024-01-18,74.473,74.9919,88.6445,88.058,98.7104,99.0243,123.7319,124.0701
2024-01-19,73.8431,74.5211,88.6096,88.3527,97.8581,98.0837,123.5642,123.5455
2024-01-22,73.8712,75.1442,88.1831,87.7976,97.2854,97.5899,122.8532,122.7246
2024-01-23,74.0301,74.7222,88.3818,88.4023,98.1096,98.1061,122.7801,122.905
2024-01-24,73.4055,74.412,87.9806,87.2264,96.8601,97.3951,121.5655,121.7587
2024-01-25,73.4708,74.3893,88.9672,89.1656,97.5227,97.8335,123.1658,123.1164
2024-01-26,73.9439,74.6556,89.8814,89.043,98.0514,98.3276,124.3823,124.452
2024-01-29,74.7653,75.1524,90.3659,89.3446,97.8756,98.2209,123.0689,122.9983
2024-01-30,75.4226,76.2568,90.4155,89.9604,97.9081,98.5053,123.4555,123.4418
2024-01-31,75.4684,75.7616,90.1772,89.467,98.4325,98.956,124.2795,123.8205
2024-02-01,75.374,76.3893,90.1531,89.7493,98.5086,98.6733,124.135,124.661
2024-02-02,74.5935,75.3251,89.2609,88.8904,97.9335,98.4285,122.8532,122.3605
2024-02-05,74.1784,74.306,89.9125,89.4802,98.1273,98.4355,122.4606,122.4874
2024-02-06,73.7988,74.46,90.1475,89.5009,97.7831,98.6699,121.9208,121.3698
2024-02-07,74.955,75.8479,91.5522,91.2731,99.6052,100.3153,125.2935,125.1714
2024-02-08,76.0326,76.7195,92.67,92.2302,101.6642,101.7944,126.9492,126.728
2024-02-09,75.7459,76.7058,92.8119,92.8155,100.3237,101.4354,126.6429,126.8202
2024-02-12,75.069,75.6501,91.7075,91.3401,100.067,99.7869,125.6688,126.0163
2024-02-13,74.3813,74.853,90.6203,90.0589,98.9009,99.5048,124.8898,124.8049
2024-02-14,74.9444,75.6926,91.3966,90.5829,100.2737,100.4163,126.3661,126.8437
2024-02-15,75.0903,75.9132,92.0424,91.619,100.0359,100.9278,126.1263,127.2066
2024-02-16,75.2004,75.9489,91.8909,91.211,100.3414,100.7866,125.8106,125.8873
2024-02-19,74.2979,75.4183,91.0851,90.3362,98.9074,99.1124,125.0662,125.239
2024-02-20,74.5788,75.2627,91.7633,91.5573,100.2073,100.4707,126.2481,127.0446
2024-02-21,75.0705,76.0307,91.9206,91.0014,100.5505,100.6919,126.9735,127.4607
2024-02-22,74.5,75.3512,90.6412,90.614,99.0462,99.3412,125.8245,126.246
2024-02-23,74.0179,74.5072,89.5871,89.294,98.7076,98.9656,125.4194,126.1112
2024-02-26,74.1272,74.6687,90.5352,90.1431,99.2712,99.3817,125.1469,125.2024
2024-02-27,74.1891,75.0528,91.1534,90.4969,98.5974,99.0066,125.3747,125.5273
2024-02-28,74.0511,75.3546,91.0318,90.8584,98.5768,98.9845,125.7495,125.8491
2024-02-29,74.0421,75.0416,90.6515,90.3115,98.4107,98.4349,126.7271,126.7952
2024-03-01,74.2636,74.7138,91.1999,90.5694,97.9385,97.7863,125.1676,126.0929
2024-03-04,74.7081,74.8348,91.5494,91.125,99.3509,99.6336,125.2225,124.9961
2024-03-05,75.6857,76.6651,92.8465,91.8508,100.4793,100.8714,127.2551,127.1958
2024-03-06,74.2701,75.0502,91.5053,90.4057,98.1057,98.5391,125.4814,125.1797
2024-03-07,74.5766,75.6031,91.457,90.4639,97.4364,97.8276,126.5627,127.1649
2024-03-08,75.2785,75.7731,92.3339,91.7166,97.921,98.6008,126.4721,126.3983
2024-03-11,75.3582,76.1057,92.6497,91.911,98.6816,99.1587,127.9335,127.9077
2024-03-12,74.7902,75.7367,92.1888,91.7709,98.3264,99.3324,127.7192,127.1858
2024-03-13,73.6839,74.3301,90.3521,89.4136,97.1563,98.2063,126.5032,126.469
2024-03-14,73.9251,74.5759,90.2142,89.6725,97.3413,96.9223,127.4207,127.6676
2024-03-15,74.8451,75.6578,91.7184,90.9941,98.5159,97.9752,128.6851,128.794
